1001 10000
747 527 4
953 115 41
433 290 91
202 671 50
963 838 50
289 609 20
680 438 86
12 142 4
434 532 52
229 936 8
945 466 68
675 427 91
493 711 15
410 902 27
899 874 96
20 234 5
593 860 15
621 407 96
417 964 26
904 437 93
105 776 80
289 531 16
115 506 16
390 371 88
147 552 7
220 767 38
880 730 16
640 471 82
980 193 50
964 845 36
363 15 72
933 199 89
828 546 31
421 613 40
994 843 45
608 693 14
135 628 67
942 699 44
212 415 16
633 388 57
354 929 86
644 941 67
803 983 68
119 9 37
189 463 70
546 805 89
677 418 13
869 935 64
741 515 27
818 327 91
313 489 68
307 849 52
579 865 19
181 5 62
655 699 9
481 621 97
17 399 56
648 923 85
488 679 89
38 711 59
167 743 5
771 880 66
495 780 25
307 367 2
785 170 29
336 355 95
30 488 15
759 852 18
462 760 8
595 759 96
658 517 87
476 587 62
276 508 11
215 64 69
0 243 8
244 22 15
97 857 28
81 59 63
708 171 17
128 51 66
296 171 16
222 52 48
101 504 90
151 550 66
163 654 51
472 421 32
133 559 75
161 716 68
778 165 48
992 353 71
176 538 87
889 29 21
781 444 49
149 314 4
568 343 72
428 50 83
411 216 54
899 357 27
988 922 33
481 17 25
435 763 76
929 642 50
261 186 12
660 571 31
779 760 80
33 652 40
532 581 92
107 986 93
857 204 76
885 245 75
495 620 84
937 495 46
350 498 15
750 623 29
567 626 80
990 430 51
643 186 37
61 730 15
853 128 85
425 728 91
541 57 90
237 688 71
214 812 91
334 414 70
456 459 64
843 697 16
603 579 26
822 548 51
644 537 13
250 920 6
329 546 16
990 152 24
666 651 96
785 319 57
177 376 36
697 679 33
995 583 100
448 715 49
906 261 24
374 345 10
13 655 67
793 23 4
414 181 20
269 923 37
748 224 42
349 876 60
423 688 97
386 284 80
60 339 61
866 844 9
730 738 73
224 444 81
433 288 56
423 308 42
329 32 55
564 876 11
476 872 73
417 220 84
684 722 2
313 988 59
287 801 90
793 651 75
71 242 34
809 515 34
415 560 53
398 871 54
637 194 72
623 726 87
233 361 13
717 482 44
202 977 56
578 232 33
522 701 63
692 590 41
479 890 54
682 768 21
765 125 46
955 255 27
765 915 82
644 773 11
502 579 54
180 583 48
472 916 71
306 961 21
926 667 46
668 332 23
140 844 12
445 733 31
810 647 80
250 213 85
290 428 58
964 699 11
483 40 78
782 110 99
229 213 40
810 549 90
709 215 65
455 905 33
864 338 84
63 253 36
903 10 5
661 697 82
351 28 100
997 772 60
203 545 27
631 647 87
418 699 40
786 337 78
360 389 4
267 41 79
469 710 6
894 748 41
232 362 47
72 428 29
770 523 48
12 993 93
861 27 23
371 405 56
857 416 56
708 101 25
378 800 46
120 890 82
466 865 69
628 4 83
397 444 31
373 350 95
484 401 34
205 603 52
405 538 73
344 840 9
13 802 17
850 698 100
383 11 75
504 849 42
393 506 73
17 656 38
87 372 41
283 593 38
85 529 38
785 57 1
474 571 56
206 48 83
26 629 98
973 97 78
147 137 35
848 703 7
36 953 21
532 786 64
241 576 19
83 717 50
865 454 30
94 159 14
798 163 57
383 976 42
910 66 49
843 746 10
791 586 80
75 532 63
16 643 81
246 817 12
538 212 58
136 653 18
513 619 35
743 272 87
965 936 10
258 782 20
619 657 36
240 5 42
914 699 49
219 205 49
266 941 32
247 316 12
740 441 11
281 118 83
49 653 51
639 18 48
730 281 100
536 14 15
246 640 72
503 91 60
410 519 26
579 333 99
989 273 72
864 852 26
207 361 77
85 637 7
273 742 92
532 759 43
53 312 11
855 811 78
231 497 10
906 404 46
764 470 45
48 18 58
747 431 91
664 587 20
212 493 54
652 379 50
344 768 45
71 767 14
299 302 40
89 88 1
525 892 6
928 923 70
589 560 44
938 453 93
575 95 55
441 35 61
83 678 51
692 802 58
863 676 66
537 485 11
702 39 55
907 934 53
495 497 7
611 308 36
804 489 20
548 890 16
264 563 48
350 911 40
202 795 97
502 207 35
474 952 79
122 467 30
371 32 67
725 80 55
501 578 98
820 460 50
352 804 33
441 511 4
592 178 61
977 416 93
771 305 94
29 800 57
211 840 25
29 562 38
379 547 13
765 632 80
127 885 76
320 977 98
734 285 53
601 960 41
903 779 40
961 51 60
13 37 75
927 750 2
369 783 84
890 860 8
495 59 94
585 806 74
584 368 39
555 346 85
192 165 82
135 43 71
742 179 30
246 211 57
139 335 31
679 562 22
282 805 7
676 290 34
619 590 21
7 458 90
653 468 31
310 494 78
140 896 34
471 103 3
152 484 52
977 14 96
64 916 13
821 997 2
243 278 66
141 846 27
956 832 78
865 881 50
920 458 94
293 166 70
972 135 73
197 861 81
969 454 9
147 425 38
219 617 75
848 947 67
138 400 49
551 47 58
913 808 62
153 939 97
827 925 67
307 183 38
990 826 91
773 647 54
289 813 77
197 32 30
741 412 72
596 298 12
598 5 22
611 127 24
587 720 31
732 228 95
311 34 20
88 176 67
417 917 94
87 244 72
143 74 44
829 267 73
602 746 40
377 837 85
985 339 96
197 860 71
887 715 33
846 436 40
73 89 27
617 511 27
450 588 16
369 389 35
958 121 44
398 296 66
312 712 24
199 475 33
360 693 5
578 63 32
922 787 48
338 562 13
313 852 86
449 594 12
860 513 7
348 622 70
799 735 89
319 901 10
364 129 78
665 199 13
858 359 27
368 912 34
205 59 73
687 567 21
666 86 30
595 178 65
868 694 65
874 625 37
825 792 22
607 735 40
118 422 57
396 164 82
568 547 64
453 970 8
685 704 75
85 908 49
829 837 93
948 855 26
414 908 12
61 574 76
41 935 57
93 693 53
1 278 14
417 809 99
900 123 87
519 404 19
643 279 13
478 565 69
111 195 18
895 836 16
159 29 36
512 370 4
858 835 30
394 270 14
886 648 20
412 80 84
177 959 42
337 399 91
894 14 74
883 51 64
228 691 87
585 366 52
687 838 14
199 812 87
778 698 57
90 216 11
724 172 71
162 385 14
281 527 3
330 130 70
244 468 6
298 86 54
654 156 44
407 764 11
896 367 50
179 181 26
978 280 50
603 649 35
666 930 19
215 729 10
122 290 33
65 51 42
930 876 10
805 132 59
137 756 18
287 683 42
792 109 14
261 480 47
76 6 68
4 430 67
420 461 84
21 257 100
350 489 59
990 491 17
756 515 1
183 518 55
952 707 99
880 434 43
118 83 1
653 194 44
637 993 8
417 448 34
584 729 72
578 12 47
787 350 37
97 170 83
505 567 85
732 359 32
983 737 5
378 385 70
934 498 53
388 411 3
375 970 48
805 966 54
943 576 74
838 596 9
922 127 84
915 268 8
103 34 67
692 919 5
580 838 66
380 163 72
748 865 82
757 71 78
216 502 58
860 535 63
514 654 79
165 666 84
86 375 29
34 385 76
125 211 27
451 262 26
659 85 60
432 32 74
59 258 38
844 958 67
666 280 70
491 713 49
258 256 10
601 379 41
478 863 88
424 762 42
972 605 98
847 174 29
497 325 20
488 263 82
41 979 28
511 125 76
643 807 94
639 405 67
987 485 53
151 799 6
805 173 97
930 714 6
105 494 78
681 203 94
10 812 90
675 368 89
784 120 78
767 831 82
258 402 39
718 517 48
532 677 73
310 107 69
608 858 99
623 389 47
46 523 81
373 768 20
936 403 47
731 364 21
618 916 20
558 443 72
506 676 58
686 504 99
30 615 74
118 603 57
26 757 22
619 527 23
374 463 28
594 399 89
670 545 72
793 68 27
427 452 62
168 993 55
884 526 73
163 522 57
454 951 42
425 963 27
841 721 45
775 844 54
119 121 46
683 603 30
143 532 72
409 152 50
853 844 33
688 591 100
357 488 58
180 403 85
393 581 53
611 919 33
919 668 26
538 365 62
150 407 66
374 834 8
274 681 97
606 91 90
907 131 92
781 377 2
272 988 53
614 8 67
386 320 99
159 146 29
367 735 57
756 809 70
301 348 22
945 898 75
52 621 50
864 147 96
922 741 68
691 285 20
902 280 21
329 292 61
694 360 69
350 520 49
614 565 72
334 391 51
826 577 34
786 762 5
934 502 73
51 868 44
854 76 92
635 319 100
396 381 31
388 90 91
813 231 31
266 529 73
911 467 100
270 403 7
886 250 61
408 127 79
572 361 68
287 10 39
40 540 98
481 682 71
229 490 2
601 581 87
595 837 81
159 48 90
893 681 48
186 380 74
305 306 42
367 315 54
334 481 24
883 215 28
486 45 96
974 255 69
531 429 13
77 785 26
179 76 26
376 864 55
335 949 91
139 98 8
647 677 54
261 654 84
597 157 4
799 479 42
425 719 100
309 785 5
864 60 80
737 865 86
349 774 14
166 994 57
933 923 2
103 744 31
353 759 65
128 304 62
746 855 88
271 110 72
820 785 71
253 946 43
668 789 95
85 111 23
122 490 54
92 275 66
230 278 65
628 151 39
705 626 71
999 784 2
339 988 65
808 261 65
545 247 43
531 145 23
96 165 25
97 343 72
267 652 28
673 682 9
70 451 33
366 458 41
695 953 71
529 324 33
20 17 84
515 343 35
512 81 34
853 406 45
777 301 15
623 961 15
64 90 97
312 89 97
217 743 77
282 70 43
290 28 54
340 680 42
252 450 7
83 287 2
755 516 38
574 278 87
613 193 39
9 648 63
70 600 76
126 718 63
865 776 58
770 499 57
178 485 93
556 667 31
495 880 34
84 877 90
994 317 30
197 545 18
959 62 82
338 347 83
354 916 21
935 433 6
191 66 82
264 894 63
928 632 23
360 165 90
151 768 17
783 362 22
570 250 90
817 480 13
601 461 52
481 177 7
381 232 22
29 639 81
113 10 65
42 495 66
34 690 21
592 281 43
378 653 60
658 819 92
650 65 79
563 719 43
226 932 37
592 242 7
677 66 29
611 730 53
888 204 34
73 574 9
350 579 3
47 514 20
257 378 46
823 472 32
292 164 54
274 306 16
961 941 18
298 416 21
636 814 74
176 780 91
73 40 31
305 408 68
49 508 38
659 785 22
828 772 77
914 119 45
395 725 84
642 874 38
913 827 57
54 906 59
169 736 47
232 845 1
207 210 53
988 10 33
818 658 89
192 104 99
694 174 5
117 783 95
353 349 60
670 353 54
537 401 3
427 654 56
435 58 91
883 96 69
539 457 25
938 613 90
29 782 39
359 466 74
410 703 13
862 157 26
445 778 52
508 348 76
305 701 80
704 39 48
75 202 12
868 452 88
863 579 32
232 129 83
443 358 64
443 944 39
362 538 100
117 960 61
822 665 31
769 436 47
970 399 46
816 109 6
872 152 40
507 483 59
492 951 58
904 983 83
721 462 30
715 918 10
819 442 36
811 970 12
235 90 66
190 515 31
968 332 100
889 486 69
946 368 51
448 719 32
973 252 77
624 21 67
993 912 18
424 712 43
273 621 2
804 714 63
538 773 14
202 825 4
59 656 11
315 881 54
123 570 45
176 100 30
461 330 47
152 562 33
708 221 22
137 394 22
276 787 62
367 821 35
919 302 17
782 429 5
424 536 14
718 238 29
943 277 73
504 984 46
763 249 98
519 6 51
129 264 97
214 73 92
49 577 71
815 117 9
773 508 71
465 603 75
136 340 99
859 152 86
0 709 57
911 258 20
583 482 30
151 605 65
820 976 85
971 506 81
280 927 37
690 514 61
232 377 24
556 783 1
210 856 21
648 903 95
154 584 56
743 276 38
677 738 21
136 941 75
639 995 2
133 768 55
381 433 77
419 229 49
767 616 14
857 534 61
712 134 62
479 806 38
469 351 56
879 233 70
644 361 17
235 416 57
217 631 93
424 488 78
336 89 76
579 417 9
40 160 59
71 658 62
321 560 26
5 880 17
200 427 36
541 132 55
973 706 21
551 663 35
758 674 61
141 113 76
138 645 35
984 606 16
589 654 31
198 790 29
9 983 26
888 517 90
631 326 66
224 649 14
395 603 95
290 355 84
577 840 16
550 671 66
280 87 60
623 917 38
630 466 17
619 836 8
520 950 38
493 691 27
328 0 81
582 620 59
685 476 78
203 842 98
344 682 69
405 906 46
332 40 3
87 729 1
756 840 23
141 0 94
936 686 89
463 308 78
764 831 26
744 498 58
376 383 18
130 624 72
636 122 15
764 69 13
76 46 22
556 383 70
881 636 27
76 821 38
347 10 2
910 616 29
72 760 7
130 395 37
611 997 56
865 564 13
734 896 56
68 73 27
827 510 62
560 680 27
500 172 42
918 438 48
392 673 70
553 911 2
623 963 74
297 53 30
226 81 72
922 881 18
5 88 88
15 86 33
341 60 32
761 597 89
206 567 3
204 3 17
55 576 82
406 583 18
381 764 13
776 866 24
437 349 60
397 887 9
727 876 46
12 294 91
506 613 6
216 565 32
417 661 17
968 212 44
772 326 73
111 904 68
880 332 74
704 330 47
305 391 94
847 311 46
255 171 80
481 650 97
8 942 100
899 35 47
221 966 43
355 971 86
31 337 82
260 499 14
376 115 80
168 194 72
184 230 98
414 850 53
619 536 24
952 216 43
240 841 6
526 347 93
368 821 11
340 639 64
259 210 63
369 42 43
140 180 55
397 733 84
735 88 35
327 831 71
74 988 51
864 886 65
594 714 73
508 697 14
761 946 18
451 584 52
480 345 42
998 587 17
517 579 53
126 615 79
30 874 60
906 14 94
235 262 62
52 50 44
515 779 67
276 100 22
484 959 23
705 524 32
551 557 13
302 181 55
250 384 69
640 530 91
248 503 91
639 351 98
641 91 35
182 980 41
470 899 33
289 496 8
775 81 25
768 881 76
10 306 39
109 590 85
252 732 55
375 95 43
876 251 54
164 656 50
482 33 76
500 72 4
616 39 45
527 912 94
849 222 91
690 882 51
84 641 10
693 837 39
227 617 93
64 629 74
313 109 24
140 516 4
911 401 69
393 741 67
830 360 69
455 647 6
974 28 68
855 188 6
684 916 83
968 488 22
889 988 34
987 919 100
851 310 91
496 309 97
688 848 75
400 653 21
657 885 50
337 633 46
535 875 20
328 699 31
123 503 7
821 756 3
904 588 27
768 660 30
517 40 41
157 302 66
71 936 20
282 982 84
573 18 87
953 703 10
885 380 3
286 566 69
704 372 53
497 986 30
730 240 51
433 78 31
980 122 22
837 604 23
745 342 67
180 603 29
939 844 48
864 825 48
593 562 62
823 51 60
460 176 52
547 286 72
80 186 91
8 998 84
922 389 62
814 444 79
544 920 17
825 415 95
428 465 41
41 252 28
304 423 90
197 31 53
398 18 59
544 917 81
498 25 65
365 982 41
837 880 49
965 260 69
237 664 36
331 99 14
839 136 19
395 939 61
639 857 15
393 178 76
76 27 4
445 453 69
10 932 61
768 987 91
182 51 83
130 439 73
316 103 24
838 937 40
85 103 54
409 563 2
896 625 40
937 477 78
135 238 54
861 26 18
24 939 55
486 582 35
55 474 85
331 506 39
38 601 92
684 753 2
832 352 12
367 634 69
119 459 35
300 581 10
840 368 84
544 643 7
51 906 98
712 860 51
61 388 18
138 529 78
476 556 57
50 544 100
624 49 9
142 120 6
471 642 6
338 268 72
540 187 42
747 353 72
907 323 93
723 543 35
311 410 86
855 294 13
417 514 42
761 572 45
365 173 24
231 678 44
88 705 4
994 395 61
985 94 21
277 165 45
215 174 77
564 977 50
969 633 25
657 474 63
525 812 56
505 14 11
409 65 54
866 903 2
531 945 81
418 505 91
465 202 60
889 810 11
914 518 37
41 643 45
102 514 90
741 837 43
925 737 52
181 558 87
231 282 71
503 874 28
369 86 87
256 498 45
874 901 9
392 944 80
582 227 82
362 124 93
990 178 32
963 258 60
872 153 23
122 672 5
35 553 65
125 818 45
87 567 5
357 30 61
156 302 76
405 773 3
471 90 43
77 29 77
706 609 87
490 501 98
299 13 62
699 363 46
400 9 17
529 419 28
304 421 12
782 543 94
698 549 73
383 395 49
902 273 47
300 884 85
67 911 35
409 77 77
79 755 17
888 110 99
374 533 54
31 255 49
774 293 35
157 298 43
961 257 27
842 547 23
210 363 67
102 27 3
123 427 46
457 869 4
615 913 98
140 732 56
278 549 44
905 398 95
622 769 100
833 427 57
275 547 88
763 538 26
614 631 47
977 772 5
623 894 58
272 520 21
473 51 25
474 201 60
911 833 58
925 759 89
14 14 19
881 534 53
734 647 100
724 518 8
659 807 56
956 81 83
572 156 8
901 203 69
830 887 29
7 475 37
167 606 97
791 509 47
493 60 85
830 799 36
233 566 22
816 601 11
206 956 83
649 420 97
464 995 86
82 686 58
542 58 28
781 524 69
714 787 7
315 200 83
488 332 30
924 184 85
765 496 55
929 432 61
551 417 33
886 77 86
904 79 52
806 46 16
65 756 52
374 281 89
772 162 41
517 819 80
694 301 95
639 866 26
250 722 50
126 16 2
213 216 60
945 227 65
983 111 87
956 529 23
193 130 13
415 390 33
749 207 13
573 776 60
81 576 33
907 705 71
754 935 55
277 941 40
167 620 98
67 895 25
328 198 86
521 980 87
615 953 58
165 660 20
663 342 11
50 3 74
862 833 98
242 986 99
233 460 90
29 307 41
990 208 8
256 124 51
841 977 96
640 849 47
980 205 97
782 850 42
824 36 30
811 503 19
391 4 42
687 609 1
539 911 73
625 560 20
878 803 75
936 717 83
40 642 77
90 753 46
794 626 72
931 56 76
995 614 3
928 305 66
636 286 27
222 553 10
466 921 49
930 195 55
232 799 86
195 661 8
320 76 4
484 932 31
739 410 86
372 393 30
634 12 15
51 845 29
595 49 95
86 836 54
165 463 2
769 611 45
221 212 85
47 891 96
535 241 13
544 845 44
173 594 8
658 986 44
842 952 32
851 110 62
921 730 66
66 473 82
769 534 59
445 29 90
167 435 92
533 552 83
559 294 92
507 623 9
384 153 31
233 731 95
208 549 21
37 659 8
139 680 35
390 76 95
866 949 29
966 151 26
159 195 52
522 226 17
822 47 37
665 96 66
998 904 58
578 935 40
888 885 89
595 570 39
98 289 10
221 211 19
900 713 31
653 838 50
460 993 9
59 711 16
403 499 51
910 534 99
307 943 4
276 681 98
71 413 88
874 704 10
663 18 80
769 729 9
214 930 69
665 365 2
643 270 24
933 885 20
724 600 26
985 826 7
735 653 77
95 916 28
296 656 49
264 371 57
992 467 4
562 298 17
495 333 5
911 627 76
319 55 89
252 599 33
857 785 86
275 515 62
116 584 22
469 66 10
879 992 69
675 284 84
538 100 82
876 46 67
443 296 40
462 857 64
983 199 54
380 274 20
8 746 43
694 777 81
984 312 49
556 880 42
612 97 54
709 929 22
196 167 51
340 389 89
654 872 94
576 940 56
690 185 29
176 460 70
91 384 22
182 649 36
861 716 27
908 155 96
894 835 72
668 804 19
100 263 8
282 344 40
599 624 34
56 984 11
149 502 16
489 900 44
308 552 92
832 75 51
309 275 24
366 9 42
251 471 88
434 231 66
869 569 46
146 377 95
906 140 51
31 590 57
206 821 23
179 525 3
150 788 39
855 826 95
597 557 43
858 240 90
892 84 56
153 393 44
265 111 81
951 882 78
641 302 63
991 753 62
222 448 5
541 382 7
460 661 96
755 826 80
796 226 90
872 845 68
794 695 11
197 799 18
906 990 4
259 738 53
881 374 68
645 247 74
274 95 10
38 26 60
528 141 37
614 325 92
305 279 99
385 541 79
512 780 81
784 307 99
636 903 51
852 958 21
203 636 77
320 413 25
935 274 12
877 651 81
462 581 51
552 330 65
116 137 58
746 347 71
247 410 48
499 811 86
240 341 51
508 716 43
806 754 94
698 9 19
265 58 20
122 929 54
102 498 29
657 703 90
690 61 100
462 689 21
746 33 8
351 337 29
387 958 36
640 776 2
744 329 34
269 492 21
785 224 1
821 142 20
648 734 12
498 956 92
798 902 41
529 823 39
472 234 39
496 585 53
611 352 84
739 665 31
944 272 48
509 736 96
702 601 98
9 822 79
153 411 39
421 407 74
670 349 79
