1000 10000
912 529 80
273 63 2
820 375 44
405 316 64
20 487 1
4 887 42
428 569 32
767 323 3
833 503 84
794 551 100
746 402 98
992 379 66
824 36 87
904 121 60
383 973 50
542 203 38
766 869 39
172 756 30
210 129 32
17 624 49
689 67 97
13 518 27
745 877 10
874 334 96
726 774 5
343 625 1
298 596 21
459 23 61
150 367 84
158 702 73
406 985 44
386 445 33
795 791 44
315 965 92
65 174 3
329 970 85
740 895 49
474 535 48
369 308 25
921 208 41
564 155 26
8 973 21
867 429 60
552 610 40
548 775 14
649 579 88
746 772 23
441 127 85
414 222 71
408 521 96
848 508 19
854 270 37
168 285 77
535 362 62
574 801 43
531 96 95
511 172 33
277 930 62
816 160 56
118 723 77
183 543 6
907 620 53
97 553 85
272 177 71
389 276 81
381 738 75
946 140 59
85 269 76
114 398 66
617 533 89
863 19 10
258 420 31
987 146 54
727 978 18
317 396 64
702 799 22
301 443 52
832 386 37
623 67 40
592 457 49
722 451 56
24 988 51
852 137 86
120 35 96
197 33 20
222 561 78
470 931 87
200 310 59
688 713 75
404 280 43
33 701 51
443 767 94
453 565 44
10 804 20
394 764 43
648 932 77
93 724 9
973 720 21
109 327 82
902 576 87
284 380 42
563 271 58
143 254 50
543 380 43
736 253 9
813 871 6
168 118 23
76 884 24
614 272 74
670 698 87
907 226 10
991 163 85
650 85 86
509 71 21
882 881 10
545 557 62
416 142 24
210 925 74
887 861 42
319 277 92
929 690 16
404 842 80
366 945 58
536 381 55
256 858 5
47 882 92
119 950 90
593 101 24
200 68 81
764 716 56
807 877 94
37 48 25
663 549 43
949 788 23
913 775 38
435 103 12
96 765 67
325 918 7
960 910 91
754 235 4
847 535 61
194 822 49
810 407 52
579 662 96
736 744 42
944 629 52
329 973 54
66 113 62
228 606 51
616 192 68
992 544 18
763 260 87
653 848 81
642 285 50
84 635 6
812 670 4
949 974 51
100 626 50
268 778 88
600 256 13
88 936 6
548 281 89
653 696 89
381 435 62
473 854 90
424 67 69
814 532 48
548 922 59
135 840 31
670 677 97
573 653 2
461 779 13
756 736 60
952 779 39
207 164 19
245 412 33
360 332 13
162 849 6
186 70 65
397 800 80
281 838 86
291 315 9
347 879 63
663 614 36
890 747 88
430 578 93
196 789 7
792 435 34
395 581 63
71 321 47
193 176 32
908 349 56
515 769 80
648 864 27
661 935 18
37 693 89
34 389 17
275 566 67
584 685 6
587 96 46
554 456 62
775 104 66
342 915 52
886 188 43
162 764 72
883 59 35
250 993 77
126 287 4
95 190 7
599 185 85
478 439 30
107 216 98
925 407 99
265 302 34
52 920 29
93 770 32
715 38 2
23 825 45
484 880 77
451 819 61
910 652 76
279 302 56
119 168 15
982 185 35
964 762 38
633 805 31
502 226 7
671 919 37
618 229 12
26 723 56
350 671 77
798 733 14
199 114 42
895 445 91
184 217 12
240 368 28
576 211 27
920 983 29
950 80 81
156 584 21
128 544 34
153 873 4
188 326 49
393 738 10
997 879 35
770 863 3
389 4 50
511 322 99
613 140 12
565 77 14
67 306 63
760 360 64
826 995 42
668 29 22
859 911 76
347 448 77
726 605 96
213 168 53
507 820 20
102 393 44
240 387 24
475 726 55
785 88 36
299 69 48
216 19 84
361 224 59
288 803 17
372 548 85
787 877 54
284 360 14
697 930 47
286 322 97
293 364 74
411 315 74
24 762 6
617 560 98
838 673 86
861 706 85
331 163 58
300 424 19
386 56 11
546 443 17
230 299 14
452 366 84
40 373 72
407 401 97
911 35 54
165 598 18
52 122 17
653 552 23
245 814 40
926 604 17
123 928 64
26 587 53
94 248 14
466 319 36
189 254 30
798 449 97
72 439 62
332 506 77
977 855 62
495 662 25
427 684 64
341 966 39
221 592 49
2 501 35
491 535 52
945 940 19
505 68 91
434 550 4
971 929 58
858 104 3
782 512 79
670 931 6
242 514 70
292 967 20
620 686 49
520 804 71
44 779 88
40 224 26
408 111 50
579 404 12
983 571 20
7 282 27
684 870 99
70 729 43
922 871 21
773 425 55
744 272 90
203 212 26
698 252 62
866 700 21
957 151 84
627 418 67
585 140 74
766 192 5
625 688 79
373 690 70
392 69 24
514 673 97
584 688 54
766 132 36
452 163 77
583 360 86
43 937 16
81 16 1
187 974 20
505 8 76
11 103 31
194 740 64
83 244 72
630 90 33
788 689 79
504 670 80
498 871 26
14 914 79
186 303 59
405 641 44
807 32 86
779 590 17
660 318 25
526 220 24
376 830 13
610 464 24
287 723 95
621 655 75
710 377 26
61 286 39
629 221 54
270 278 26
898 992 92
582 599 23
677 491 97
989 585 43
737 787 24
172 390 37
746 515 82
166 768 41
828 195 59
24 606 99
323 599 36
725 169 5
937 273 94
897 416 91
296 315 37
814 199 13
197 802 20
708 356 43
837 340 35
768 478 64
164 354 68
234 812 9
432 528 49
463 952 25
832 461 29
304 143 1
445 543 22
623 112 61
588 1 12
257 803 23
758 8 63
728 741 86
389 438 25
79 651 60
789 731 86
512 778 5
468 826 55
304 648 22
804 768 18
708 584 65
788 791 86
453 985 17
200 495 11
783 641 99
821 927 82
987 345 13
27 747 7
105 490 97
486 224 65
853 702 91
998 237 11
283 978 88
661 646 28
737 682 24
529 209 96
369 512 77
766 706 87
554 313 84
336 850 65
596 21 47
961 839 97
888 234 38
5 859 89
507 493 20
69 27 70
701 301 17
9 201 12
820 398 19
377 869 100
527 833 8
698 200 17
675 919 84
276 555 89
211 364 13
319 467 99
332 589 19
748 4 86
794 621 67
181 228 66
617 978 28
590 350 3
779 484 86
7 744 36
120 180 13
560 577 26
852 12 4
95 562 97
259 170 25
559 570 10
732 720 58
806 700 70
782 737 85
321 820 73
169 775 57
512 303 8
489 14 61
932 786 39
248 320 33
19 323 34
100 56 53
567 766 26
645 657 73
453 402 84
332 460 38
549 574 25
691 998 44
687 648 76
83 489 51
907 711 77
298 449 5
716 124 21
59 888 84
162 257 79
675 895 73
913 0 23
703 233 22
370 160 93
998 660 94
753 246 49
865 598 28
706 803 68
263 248 26
146 684 94
640 8 9
753 39 13
629 976 41
684 400 50
603 159 92
328 152 49
936 379 1
319 642 87
625 736 16
466 770 60
823 412 34
554 379 19
428 975 65
659 81 67
141 952 18
831 946 67
841 910 94
622 330 98
682 692 31
621 912 93
943 93 84
492 79 14
768 243 68
759 639 28
534 8 7
866 149 47
894 463 94
725 534 29
222 338 30
711 364 60
220 500 78
717 916 13
264 587 71
873 575 25
604 908 90
265 369 82
707 993 43
102 282 39
819 628 81
825 434 42
1 188 100
877 476 58
812 35 16
571 984 39
677 904 49
548 636 64
890 584 83
752 753 14
224 15 12
26 51 92
518 709 72
894 436 35
568 859 63
986 280 9
323 436 33
93 733 55
823 561 7
749 756 83
100 827 37
595 327 28
931 382 76
936 451 77
975 344 42
333 950 51
205 98 1
116 898 28
774 392 79
258 235 74
163 590 26
759 308 90
520 609 64
131 333 75
469 162 16
750 547 41
298 489 3
204 580 75
45 537 36
18 227 16
781 690 14
556 818 77
558 570 33
364 918 97
764 348 86
193 552 55
827 63 75
586 187 35
411 227 16
554 976 52
951 379 18
612 960 15
387 956 44
163 560 55
722 779 4
701 38 44
370 928 20
461 963 32
6 655 40
632 445 20
75 985 10
398 811 94
307 460 35
107 783 52
433 515 22
414 911 5
698 432 86
714 899 40
54 528 85
175 506 20
669 727 64
146 675 82
400 207 33
158 888 95
861 515 63
919 142 73
505 191 77
510 218 17
679 85 59
409 60 95
747 253 31
84 580 99
122 932 55
175 189 74
791 434 81
367 383 25
801 339 9
612 538 93
94 38 78
248 601 35
533 975 91
843 326 94
902 919 79
425 352 78
265 991 56
576 458 31
857 909 66
945 686 88
226 611 31
386 110 71
821 74 30
303 150 2
755 617 91
598 427 32
122 858 23
641 74 2
437 56 1
92 788 81
475 15 14
930 41 59
293 836 12
621 198 94
748 947 93
990 344 100
730 287 14
226 112 14
81 804 95
163 334 31
221 602 90
950 539 21
867 682 73
657 392 54
594 221 7
27 898 43
61 928 24
145 739 71
901 850 25
381 393 50
694 256 13
376 508 88
367 693 9
189 293 97
11 291 53
734 997 48
524 80 87
585 122 39
97 467 41
325 404 3
563 115 42
688 532 88
655 299 92
749 979 15
88 78 90
408 995 74
283 367 11
27 44 26
956 245 33
543 421 75
929 948 1
10 496 44
744 808 38
409 711 64
911 583 35
298 367 76
322 215 29
209 180 17
883 259 22
360 76 44
867 396 50
992 141 49
480 969 66
394 578 89
885 912 63
62 481 49
573 161 66
126 455 56
177 837 33
228 221 51
332 548 31
309 997 72
119 683 24
799 431 8
322 180 32
680 776 87
6 931 67
784 284 6
264 838 94
383 759 76
524 837 11
280 985 81
260 478 4
547 377 68
270 481 52
903 127 14
708 239 87
93 641 62
517 340 20
86 224 28
996 141 97
912 461 79
939 925 18
686 267 70
375 906 78
648 991 56
75 997 36
123 825 14
511 955 90
8 60 13
945 682 9
599 178 13
83 555 59
712 788 29
124 623 66
802 422 35
377 784 1
581 272 76
722 468 18
401 185 39
526 399 60
901 727 71
289 865 57
768 722 58
106 380 41
390 205 66
477 433 9
383 913 8
181 902 15
352 32 1
847 401 92
46 229 44
310 560 77
358 38 46
315 315 18
126 944 37
30 574 21
87 795 33
706 315 79
480 998 97
460 767 37
744 142 50
391 827 42
262 806 48
994 902 20
943 747 83
633 45 14
352 30 89
239 902 95
102 699 34
607 803 40
91 724 25
346 370 88
975 85 60
205 678 10
532 604 37
48 741 95
121 705 13
961 72 33
194 839 59
45 523 67
222 1 87
690 874 54
887 527 69
283 944 4
67 846 70
576 549 11
35 626 75
285 27 71
824 23 91
293 547 83
616 280 17
804 847 84
465 649 37
86 643 79
47 563 12
503 560 78
807 65 86
836 958 89
568 74 20
743 122 65
117 205 13
282 807 43
167 180 50
359 950 7
343 659 63
341 263 17
23 507 45
518 822 34
244 656 96
993 423 84
672 123 64
403 916 23
796 7 20
14 104 66
744 301 4
894 352 60
64 307 45
443 265 42
40 897 7
817 781 35
202 236 60
38 412 43
105 954 50
946 980 85
542 723 88
725 374 33
684 470 36
476 285 81
346 829 37
758 117 25
853 833 33
766 800 73
269 515 33
295 360 20
713 947 37
247 346 7
291 979 8
676 595 36
707 371 15
571 638 99
806 923 74
113 245 39
650 674 74
428 440 67
272 309 54
51 475 24
835 377 28
420 709 71
782 678 98
300 894 74
754 538 64
500 548 93
101 333 16
474 364 8
361 937 7
92 264 15
230 381 16
797 954 21
55 920 28
801 276 33
868 555 16
79 149 52
892 229 87
884 252 57
968 990 52
810 129 23
826 333 60
617 451 100
277 580 4
25 871 78
664 314 62
786 937 13
305 722 2
771 803 51
680 376 100
905 858 99
429 241 82
884 495 63
378 152 4
461 706 98
509 321 33
319 909 81
760 503 80
534 908 20
339 41 51
139 278 90
935 668 44
109 889 32
471 699 87
75 878 63
161 912 21
136 842 58
442 348 61
811 668 83
705 798 30
876 86 76
598 722 41
985 407 10
625 664 57
385 614 31
52 92 60
644 579 17
309 863 99
1 490 46
859 142 13
540 328 2
17 888 13
308 250 42
646 384 19
317 560 36
217 286 97
228 768 59
924 823 68
89 252 14
110 773 87
312 103 28
688 60 64
553 961 86
245 456 88
962 681 37
436 842 17
185 683 61
990 900 75
442 379 2
890 967 94
416 677 15
787 655 34
777 330 26
422 936 90
288 541 99
532 201 78
883 699 64
310 1 54
742 53 11
540 446 80
752 716 36
89 310 23
326 23 7
817 758 49
458 859 46
634 684 12
280 639 47
714 556 35
388 27 6
481 692 80
379 542 55
904 862 66
982 632 93
334 983 21
971 17 98
867 42 15
47 233 35
753 706 8
168 995 37
49 737 13
777 792 27
649 635 93
895 207 72
187 198 70
973 748 25
49 654 6
155 744 3
313 1 89
478 473 59
441 830 89
532 49 32
385 611 76
438 854 86
870 234 15
163 371 68
799 784 81
332 419 66
699 401 6
575 115 68
886 281 81
380 485 81
491 695 60
883 979 79
191 9 91
223 473 71
233 903 37
741 279 79
37 256 90
958 466 28
879 248 8
453 15 3
232 179 83
366 366 28
315 619 69
803 892 58
689 897 95
681 948 15
364 677 71
198 129 46
155 705 91
922 849 5
360 196 89
495 275 63
573 338 44
724 614 57
996 696 17
604 486 41
899 191 13
681 439 65
186 524 40
261 152 20
474 16 34
59 798 97
158 964 37
939 11 29
302 634 96
318 650 29
620 465 17
398 655 35
777 757 18
937 797 32
548 835 7
812 711 16
623 948 66
258 525 90
304 794 28
43 36 87
829 840 30
914 132 28
356 827 71
284 941 64
20 607 97
51 412 91
386 666 57
139 10 84
552 437 2
412 442 51
157 370 24
284 631 89
458 637 44
570 369 66
897 526 21
348 372 17
924 276 54
710 522 93
10 955 97
913 837 2
682 670 66
136 866 88
420 513 27
926 120 29
785 611 38
239 536 37
672 840 85
445 783 17
255 909 94
211 58 10
906 800 53
267 410 87
677 757 99
422 4 98
678 353 56
584 415 37
18 100 44
922 789 92
215 951 13
869 370 4
3 858 97
12 576 40
469 438 40
951 620 95
651 475 54
545 512 10
718 658 43
444 504 10
741 816 57
820 843 85
619 49 71
822 651 8
497 547 49
94 929 21
235 262 52
467 787 50
521 360 52
54 891 6
454 849 83
787 360 44
583 864 82
192 513 98
961 771 32
734 553 50
741 10 41
691 591 28
828 265 35
601 751 65
894 649 57
46 604 70
908 441 38
658 66 73
765 701 95
888 192 48
315 913 63
763 598 89
778 540 22
347 585 39
674 550 65
773 614 51
936 601 45
360 727 98
980 580 80
240 946 100
37 411 3
298 572 55
529 370 53
31 288 92
137 350 74
50 30 39
330 571 96
33 643 73
947 29 12
798 551 2
506 392 89
201 52 84
113 702 64
509 439 3
710 375 53
272 959 32
119 543 87
169 118 52
925 681 20
244 265 95
205 596 100
863 996 40
448 389 62
174 676 84
197 877 34
535 42 82
204 508 64
988 262 34
695 655 7
947 28 86
58 338 72
439 899 93
348 372 87
946 299 43
808 650 45
134 472 81
421 987 70
408 698 23
789 872 34
607 796 76
780 167 70
558 504 19
485 731 25
580 547 97
516 585 58
759 823 66
939 593 20
650 125 31
645 185 32
629 550 39
279 426 86
837 305 23
797 592 91
284 661 21
274 353 18
108 512 4
115 598 91
649 280 65
50 307 87
536 203 53
405 652 92
942 366 72
742 967 100
615 894 22
578 132 96
636 195 62
210 93 10
978 274 63
224 585 60
678 749 38
951 541 19
385 293 47
706 556 1
269 24 70
200 299 99
444 563 50
705 350 82
8 497 96
369 349 5
399 715 79
918 328 40
594 233 44
227 310 41
957 866 87
556 549 81
576 979 87
711 55 46
27 45 22
177 687 39
632 782 25
974 623 60
196 405 94
346 904 88
398 981 23
989 823 84
647 102 75
110 785 49
692 908 61
266 854 73
225 829 69
998 974 95
594 470 68
148 826 78
86 11 3
414 867 62
795 653 54
167 657 30
628 400 16
207 851 95
643 75 46
351 342 91
554 117 59
258 807 27
270 246 90
259 77 87
757 109 70
473 455 33
819 999 42
85 810 75
222 348 56
71 417 77
402 718 68
28 658 30
377 173 53
107 442 97
428 839 72
699 463 10
836 817 57
23 453 58
966 889 70
903 938 39
825 205 81
205 973 66
156 4 10
333 871 98
304 675 92
208 412 29
347 33 36
769 473 63
541 173 98
113 292 62
445 685 52
950 161 48
661 526 100
826 495 32
756 184 67
412 622 73
321 339 30
3 528 95
254 227 78
179 339 68
116 655 15
179 4 63
495 237 87
847 468 29
550 553 35
84 190 100
275 827 28
739 49 44
685 51 82
825 26 77
93 10 18
375 974 80
959 994 55
424 862 98
14 277 22
915 275 80
240 325 90
555 721 79
16 300 36
796 955 4
191 109 3
744 642 14
36 34 45
388 957 74
781 948 26
436 858 75
587 517 92
468 912 26
696 954 63
283 164 82
432 628 31
494 222 39
352 994 33
588 882 39
547 962 59
40 971 20
925 512 92
703 95 81
331 199 92
119 45 57
112 977 18
696 886 100
728 670 25
161 197 86
302 434 86
675 380 53
888 11 96
119 953 71
54 84 66
797 923 57
517 829 39
701 791 54
281 762 81
82 407 17
777 534 63
716 380 29
459 798 29
186 380 8
41 900 21
555 231 97
576 997 88
620 528 35
617 428 41
239 686 54
976 515 49
215 548 2
751 326 58
833 188 26
454 99 37
40 268 3
408 92 2
546 24 64
325 175 70
399 366 53
221 478 69
207 84 5
824 266 70
670 553 65
248 648 93
332 827 45
652 752 19
247 178 75
842 126 22
197 72 8
658 285 71
595 973 42
235 808 69
819 650 11
782 702 59
165 403 12
859 628 33
633 515 66
220 189 70
578 0 40
500 145 71
221 414 73
525 134 2
16 268 6
66 947 19
148 294 31
922 977 10
653 651 98
589 267 86
351 954 9
297 462 97
82 658 54
120 425 93
977 177 43
960 896 34
392 309 25
617 14 91
436 795 27
589 183 24
796 468 33
963 703 17
429 392 80
466 800 41
755 266 40
395 89 26
372 252 84
551 105 83
429 85 73
857 216 14
202 326 69
926 683 67
709 368 93
179 984 35
572 951 98
967 936 67
598 967 54
817 215 50
516 130 96
164 390 11
665 991 56
704 295 72
157 623 82
381 207 25
79 648 12
400 51 23
611 940 11
729 900 29
886 418 27
580 912 9
573 389 17
375 892 99
939 158 23
999 769 13
307 932 19
186 190 93
611 308 12
905 692 92
376 446 53
242 557 67
595 427 97
637 18 88
495 330 13
807 3 94
335 21 43
297 406 91
731 258 85
774 19 90
716 270 45
951 612 66
613 317 64
339 739 60
933 275 40
326 287 83
873 818 73
467 488 50
2 570 19
342 910 26
109 931 66
665 972 37
23 540 91
741 745 82
610 259 22
657 628 46
803 614 8
26 330 27
214 201 43
841 626 97
438 495 89
54 611 31
995 404 19
863 667 43
216 8 8
889 175 87
343 791 24
449 719 9
260 339 14
657 972 9
638 632 90
964 30 58
933 724 14
427 135 16
839 353 53
989 858 55
363 435 34
901 443 67
616 68 24
51 934 93
692 704 79
884 260 90
940 744 40
914 461 24
920 106 82
973 598 22
966 84 13
543 581 41
848 957 18
664 153 27
709 563 30
892 474 51
100 909 84
701 456 69
198 659 22
48 523 37
65 355 27
154 986 41
494 59 81
450 845 25
740 531 70
711 780 5
567 251 100
692 445 64
559 625 68
545 830 8
672 522 80
717 726 84
826 803 98
352 81 71
668 864 7
537 337 28
389 452 49
156 207 73
865 266 8
500 642 57
950 285 96
270 360 4
861 823 33
774 222 4
777 276 27
839 675 26
94 393 68
404 396 31
62 983 63
580 280 90
977 335 61
611 920 55
800 880 69
131 634 97
686 804 30
435 951 84
811 940 33
245 442 36
532 202 46
689 635 79
216 396 95
923 271 56
590 492 100
226 795 60
401 785 12
299 890 31
0 684 40
907 172 54
862 576 63
187 421 48
663 985 35
232 625 81
522 557 98
850 740 67
579 330 35
934 429 40
871 439 34
815 893 93
795 531 34
817 198 22
12 26 63
618 133 9
542 452 53
503 407 19
753 455 26
109 379 85
802 650 74
676 549 60
344 287 13
412 426 26
166 333 1
641 914 42
47 731 18
273 155 38
263 791 81
828 317 81
467 739 5
382 893 25
976 207 22
882 44 95
233 955 29
290 17 100
765 601 87
438 471 83
928 42 75
291 93 21
713 130 39
791 235 27
918 360 19
260 710 63
784 270 75
143 946 82
556 436 5
280 879 50
910 374 69
441 510 67
348 753 95
296 68 2
504 300 32
594 18 84
194 274 16
172 406 22
118 219 12
950 728 59
381 840 47
101 9 67
180 564 63
375 504 56
150 981 53
301 497 95
785 914 9
244 891 92
705 10 14
304 156 10
194 639 31
835 784 92
17 850 94
964 346 38
60 172 95
819 272 3
881 22 59
559 561 77
696 118 8
116 741 92
356 798 9
396 63 15
191 189 62
932 233 79
205 664 87
114 662 79
741 174 75
210 484 48
381 934 47
912 712 49
448 173 87
456 779 53
94 913 64
929 23 80
407 106 60
788 344 44
775 280 15
921 459 69
525 394 35
819 249 53
610 452 32
274 519 8
586 184 85
800 369 52
403 117 74
917 906 18
421 816 76
339 910 94
709 390 81
148 660 23
718 971 9
790 738 65
903 360 40
882 822 41
965 348 59
375 110 23
64 582 53
668 370 74
572 592 26
566 952 82
12 944 23
470 153 82
620 40 55
103 801 64
719 308 20
735 203 18
677 913 16
587 671 32
100 258 72
159 949 82
405 42 57
589 911 62
688 818 61
366 857 32
763 844 29
715 545 7
372 393 45
358 261 32
621 407 87
937 755 14
88 517 78
379 868 74
196 195 68
768 571 77
517 664 86
339 161 27
817 438 27
281 749 69
363 559 46
415 493 92
489 496 15
494 896 27
144 530 8
784 765 99
34 179 6
187 719 90
432 755 33
430 782 32
495 685 26
786 974 42
26 576 46
180 734 82
536 264 69
454 55 10
50 646 41
602 836 97
935 599 63
574 542 94
295 770 6
911 221 18
423 365 75
237 71 11
575 482 58
881 865 80
22 477 56
961 454 24
910 921 21
223 853 26
378 789 69
687 493 49
520 730 27
882 41 5
685 509 91
11 682 53
925 599 7
398 12 73
832 983 35
166 72 92
359 415 32
967 405 79
590 196 48
270 630 29
542 325 97
218 30 96
778 812 22
14 562 43
497 584 39
546 640 18
455 137 86
90 565 65
903 547 46
518 188 24
254 502 58
511 282 39
886 376 29
761 879 16
702 751 99
220 112 74
516 522 28
226 351 14
758 110 90
91 591 56
291 45 61
698 621 41
97 582 29
256 661 56
685 227 21
817 443 91
148 896 36
300 789 21
412 487 27
698 20 66
922 415 19
720 80 99
90 633 15
409 780 11
640 943 94
381 51 51
145 910 42
184 783 10
855 604 34
255 294 31
126 177 61
80 158 2
746 119 65
571 405 59
574 698 78
295 403 33
237 483 88
969 584 95
110 818 96
844 889 70
973 159 86
925 342 17
390 129 60
800 44 94
243 350 3
960 683 85
365 295 56
773 772 45
903 947 51
581 610 94
507 919 26
588 835 43
414 642 60
335 162 3
306 989 1
468 975 17
871 125 42
15 772 53
358 201 27
758 357 92
349 893 67
523 31 6
936 143 86
109 968 80
363 790 3
522 466 99
705 105 62
340 193 54
770 781 55
397 748 87
117 975 71
133 250 47
34 182 97
279 119 69
525 944 42
587 303 76
144 143 16
860 378 10
329 395 20
338 667 3
830 954 15
922 126 81
615 225 98
40 793 81
438 275 47
51 21 41
290 13 56
921 611 49
520 182 89
936 829 12
101 304 41
131 261 49
671 276 4
249 316 96
805 855 22
901 273 66
636 658 48
229 378 77
733 902 10
232 539 58
914 478 91
614 150 4
710 698 48
478 321 88
245 230 68
828 7 16
627 140 17
954 650 41
635 124 52
820 380 8
200 96 10
788 214 26
34 20 59
759 411 81
40 62 82
798 786 21
664 390 54
348 867 48
117 898 15
603 770 93
603 747 37
297 499 80
701 87 77
216 740 14
221 98 60
179 478 88
199 802 34
828 401 80
199 399 16
548 388 88
668 42 10
446 437 70
31 476 27
780 697 31
751 803 91
790 837 77
920 272 97
528 526 43
975 175 51
754 700 27
87 675 86
69 435 7
711 362 58
485 573 60
186 267 38
603 635 7
650 182 93
888 553 86
962 462 6
973 60 67
279 849 52
880 370 20
555 934 81
899 706 45
16 918 100
124 126 9
250 734 83
158 401 93
906 802 6
719 326 47
667 384 39
510 377 76
613 84 28
821 281 5
733 755 9
174 127 97
392 514 38
372 268 57
543 224 34
798 25 34
441 926 72
258 474 77
436 964 50
957 345 84
567 582 74
366 647 78
880 725 33
652 493 16
122 406 84
560 218 17
345 26 34
291 65 42
146 158 38
361 313 72
578 519 47
267 458 48
460 533 59
440 544 15
878 991 58
534 649 63
24 904 65
859 113 76
716 876 28
478 912 24
49 645 27
39 513 25
708 113 24
646 594 50
804 869 31
59 200 17
762 752 43
75 813 91
843 328 61
983 503 74
661 322 10
624 713 3
807 155 46
460 985 74
217 572 67
436 278 41
521 745 49
495 18 66
42 935 93
514 119 19
753 468 72
395 476 58
417 309 78
926 374 79
861 635 35
595 443 81
914 501 48
739 412 68
591 671 76
863 220 93
782 923 77
489 897 94
830 653 86
739 548 31
349 603 79
947 76 81
393 328 8
895 863 5
787 825 16
151 302 54
459 567 56
618 114 84
102 249 64
18 261 99
782 631 91
972 591 82
730 908 60
500 290 94
957 736 97
668 272 8
798 606 7
536 218 71
237 194 36
801 54 57
198 275 81
220 839 93
80 280 82
451 57 14
860 404 60
735 605 51
810 418 1
607 200 52
266 442 38
670 929 69
706 22 67
831 795 47
141 226 58
135 332 59
968 844 81
127 173 74
819 540 78
516 438 41
389 217 4
964 473 53
123 804 26
798 376 60
361 476 44
564 588 23
763 391 23
359 987 56
605 880 58
225 880 78
251 244 32
285 381 95
841 673 63
845 115 32
268 428 42
342 280 4
411 475 50
826 119 80
623 618 65
462 173 15
791 831 31
914 79 27
936 797 73
289 546 39
513 570 10
5 113 29
872 75 21
625 581 59
760 7 2
64 203 4
202 63 22
254 333 10
685 355 68
213 269 65
141 780 38
37 769 73
20 170 97
604 967 64
830 573 72
97 844 1
540 902 85
528 970 64
69 835 47
906 775 77
615 559 35
252 109 28
173 400 99
876 48 82
82 976 88
606 242 73
253 73 100
438 904 83
943 955 100
840 583 97
101 872 82
163 401 72
92 763 71
374 363 34
8 341 68
